totalPrice,Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway
383.0,116.31213100000001,39.970749,45.73,1,1,1,1,1,4.0,1995,4,2,0.0,1.0,1.0
715.0,116.391726,39.978788,61.0,2,1,1,1,2,4.0,1982,4,2,0.0,1.0,1.0
290.0,116.17621299999999,39.942157,70.71,2,1,1,1,0,4.0,1997,4,2,0.0,0.0,0.0
655.0,116.50356799999999,39.916109000000006,88.75,2,1,1,1,0,1.0,2009,4,6,1.0,0.0,1.0
275.0,116.422403,39.987660999999996,57.0,2,1,1,1,1,4.0,1986,4,2,0.0,1.0,1.0
305.0,116.445996,40.069568,75.51,1,1,1,1,1,1.0,2001,1,2,1.0,1.0,0.0
468.0,116.52181200000001,39.930841,60.82,1,1,1,1,1,3.0,2008,4,6,1.0,1.0,1.0
338.0,116.48156399999999,39.933347,55.22,2,1,1,1,0,4.0,1982,1,6,0.0,1.0,1.0
298.0,116.60995700000001,39.91983,69.94,1,1,1,1,2,3.0,2009,3,6,1.0,1.0,1.0
666.0,116.421876,40.008585,102.39,2,1,1,1,1,1.0,1999,4,6,1.0,1.0,1.0
472.0,116.441781,39.991956,71.19,1,1,1,1,0,1.0,2005,4,6,1.0,1.0,0.0
325.0,116.341467,40.087007,66.0,2,1,1,1,2,4.0,2002,3,2,0.0,0.0,0.0
483.0,116.345325,39.903799,53.7,2,1,1,1,1,4.0,1980,4,4,0.0,1.0,0.0
231.0,116.279545,40.144739,53.59,1,1,1,1,3,4.0,1998,3,2,0.0,0.0,0.0
648.0,116.465732,39.874466,106.82,2,2,1,1,2,4.0,2005,4,6,1.0,1.0,1.0
260.0,116.412985,40.062212,77.07,2,2,1,1,2,3.0,2008,4,6,1.0,1.0,1.0
186.0,116.16936499999998,39.937036,92.58,2,1,1,1,4,4.0,1999,3,2,0.0,1.0,0.0
168.0,116.23558200000001,39.88187,60.04,1,1,1,1,4,3.0,2013,2,6,0.0,0.0,0.0
510.0,116.513625,39.931024,86.14,2,1,1,1,1,1.0,1999,3,6,1.0,1.0,1.0
269.0,116.13423200000001,40.251337,77.9,2,1,1,1,1,4.0,1998,4,2,0.0,1.0,0.0
367.0,116.58891299999999,39.922146000000005,65.9,1,1,1,1,0,4.0,2003,4,2,0.0,1.0,0.0
548.0,116.69763200000001,39.920038,88.68,2,3,1,1,2,3.0,2012,4,6,1.0,0.0,0.0
656.0,116.36486599999999,39.964032,94.0,3,1,1,1,3,4.0,1959,4,2,0.0,1.0,0.0
645.0,116.50891000000001,39.920223,121.58,3,1,1,1,0,1.0,2001,4,6,1.0,1.0,0.0
294.7,116.52511499999999,39.922302,83.52,2,1,1,1,0,1.0,2002,4,6,1.0,1.0,1.0
2066.0,116.330331,39.939378999999995,230.66,3,2,1,3,1,4.0,2007,4,6,1.0,0.0,1.0
378.0,116.52403400000001,39.828866,91.88,2,1,1,1,1,3.0,2010,4,6,1.0,0.0,0.0
760.0,116.43583899999999,39.933367,64.44,2,1,1,1,3,4.0,1993,4,2,0.0,1.0,1.0
360.0,116.421842,40.119709,89.96,2,1,1,1,1,4.0,2009,4,2,0.0,1.0,0.0
287.0,116.441833,39.866749,86.86,2,1,1,1,1,3.0,2000,3,6,1.0,1.0,1.0
84.5,116.542892,39.749119,22.17,1,1,0,1,3,4.0,2009,3,6,1.0,0.0,0.0
320.0,116.36486599999999,39.964032,61.3,2,0,1,1,0,4.0,1978,3,2,0.0,1.0,0.0
350.0,116.497552,39.966029999999996,69.55,1,1,1,1,0,4.0,2003,4,6,1.0,0.0,1.0
285.0,116.175676,39.932521,63.73,2,1,1,1,0,4.0,1999,3,2,0.0,1.0,1.0
848.0,116.50415600000001,39.906125,122.46,2,2,1,2,1,3.0,2007,4,6,1.0,1.0,1.0
893.6,116.34508400000001,39.884248,84.56,3,1,1,1,1,4.0,1997,4,2,0.0,1.0,0.0
152.8,116.333514,39.797388,37.0,1,0,1,1,2,3.0,2009,3,6,1.0,1.0,1.0
330.0,116.46919,39.992542,76.88,2,1,1,1,0,1.0,1998,4,2,1.0,1.0,1.0
188.0,116.416156,40.082584999999995,86.27,2,1,1,1,2,1.0,2003,4,2,1.0,1.0,0.0
225.0,116.51291599999999,39.864253999999995,56.0,1,0,1,1,0,3.0,2007,1,6,1.0,1.0,0.0
395.0,116.354789,40.013816999999996,62.41,2,1,1,1,2,4.0,1998,4,2,0.0,0.0,1.0
296.3,116.34768500000001,39.792196999999994,62.48,2,1,1,1,0,4.0,2014,4,6,1.0,0.0,1.0
332.0,116.334148,40.057145,56.19,1,1,1,1,0,1.0,2007,4,6,1.0,1.0,0.0
385.5,116.42116399999999,40.119816,89.4,2,1,1,1,0,4.0,2012,4,2,0.0,0.0,0.0
285.0,116.56021499999999,40.093,100.85,3,1,1,1,3,3.0,2007,4,6,1.0,0.0,1.0
365.5,116.457526,39.8764,79.1,2,1,1,1,0,1.0,2009,3,6,1.0,0.0,1.0
718.5,116.42935200000001,39.904538,103.7,3,1,1,1,1,3.0,2006,3,6,1.0,1.0,1.0
395.0,116.349005,40.079347,100.49,2,1,1,1,3,4.0,2003,4,2,0.0,1.0,1.0
200.5,116.638919,39.900576,54.24,1,0,1,1,1,1.0,2009,4,6,1.0,1.0,0.0
750.0,116.347007,40.004589,86.28,2,1,1,1,1,4.0,1996,4,2,0.0,0.0,1.0
140.0,116.336897,40.062253999999996,48.88,1,1,1,1,2,3.0,2008,4,6,1.0,1.0,0.0
499.0,116.326792,39.757576,140.91,4,1,1,2,0,4.0,2005,3,6,1.0,1.0,1.0
482.0,116.49387800000001,40.000306,84.54,1,2,1,1,1,4.0,2005,1,6,1.0,1.0,0.0
269.8,116.255917,39.880421000000005,60.41,1,0,1,1,2,4.0,2004,4,6,1.0,0.0,0.0
462.0,116.63264,39.913740999999995,211.45,3,2,1,2,4,4.0,2002,3,6,1.0,1.0,1.0
600.0,116.435511,39.946194,71.62,2,1,1,1,4,1.0,2003,3,6,1.0,0.0,1.0
283.0,116.27588,40.17221,89.0,3,1,1,1,0,4.0,2009,3,6,1.0,0.0,0.0
725.0,116.433356,40.005811,100.68,2,1,1,1,1,1.0,2009,4,6,1.0,0.0,1.0
484.5,116.362276,39.909851,48.48,1,1,1,1,1,1.0,1984,3,6,1.0,1.0,1.0
267.0,116.476467,39.888742,64.17,2,1,1,1,2,1.0,1994,4,6,1.0,0.0,1.0
287.0,116.265774,40.170928,61.89,2,1,1,1,1,4.0,2010,1,6,1.0,0.0,0.0
228.0,116.340473,39.886963,31.7,1,0,1,1,0,4.0,1992,4,2,0.0,0.0,1.0
